"Month","Price"
"Jul-16",2966.28
"Aug-16",3004.16
"Sep-16",3006.05
"Oct-16",3290.46
"Nov-16",3056.29
"Dec-16",3572.84
"Jan-17",3649.89
"Feb-17",3647.03
"Mar-17",3355.09
"Apr-17",3365.04
"May-17",3213.83
"Jun-17",2975.01
"Jul-17",3071.23
"Aug-17",3194.46
"Sep-17",3413.19
"Oct-17",3574.53
"Nov-17",3887.81
"Dec-17",3930.99
"Jan-18",4215.16
"Feb-18",4085.16
"Mar-18",4171.72
"Apr-18",4516.93
"May-18",4959.75
"Jun-18",4879.75
"Jul-18",4992.51
"Aug-18",4942.53
"Sep-18",5448.55
"Oct-18",5648.69
"Nov-18",4476.09
"Dec-18",3822.07
"Jan-19",4003.08
"Feb-19",4352.94
"Mar-19",4432.04
"Apr-19",4761.33
"May-19",4664.02
"Jun-19",4149.67
"Jul-19",4230.22
"Aug-19",4102.97
"Sep-19",4282.87
"Oct-19",4069.14
"Nov-19",4314.32
"Dec-19",4509.77
"Jan-20",4395.91
"Feb-20",3811.78
"Mar-20",2392.98
"Apr-20",1603.02
"May-20",2298.55
"Jun-20",2987.46
"Jul-20",3156.01
"Aug-20",3243.75
"Sep-20",2984.05
"Oct-20",2931.66
"Nov-20",3141.53
"Dec-20",3589.35
"Jan-21",3918.56
"Feb-21",4399.41
"Mar-21",4646.36
"Apr-21",4684.64
"May-21",4879.21
